Titre,Entreprise,Lien,Description,Autres
Responsable Technique - Guinée / Conakry,TOPWORK,https://www.emploi.ci/offre-emploi-cote-ivoire/responsable-technique-guinee-conakry-1479063,"Nous sommes à la recherche d'un  Responsable Technique Missions: Veiller à l’acquisition d’équipements performants aux meilleures conditions coût/efficacité ; Veiller au maintien en bon état de marche des équipement industriels et à la réalisation de la production suivant les normes généralement admises ; Élaborer les spécifications techniques des équipements à acquérir ; Élaborer les cahiers des charges et le dossier de commande pour les équipements concernés ; Manager les équipes de production et de maintenance ; Assurer le bon déroulement de la production ; Contrôler le fonctionnement des machines de manières permanente ; Réaliser la maintenance préventive...
+plus",Niveau d´études requis : Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 5 ans et 10 ans & Expérience > 10 ans; Contrat proposé : CDI; Région de : International; Compétences clés : Électromécanique - Équipement - Gestion de la Production - Gestion de la Qualité - Machines - Maintenance - Maintenance Électromécanique - Maintenance Préventive - Production - Qualité
Développeur Fullstack - Mobilité électrique - Abidjan,ILLIGO,https://www.emploi.ci/offre-emploi-cote-ivoire/developpeur-fullstack-mobilite-electrique-abidjan-1498248,"Notre société : Illigo Illigo est un opérateur de véhicules électriques qui a pour vocation d'accélérer dans les marchés émergents le développement d'une mobilité meilleure pour l'environnement et pour la société, tout en étant plus économique et plus vertueuse.  Pour cela, nous investissons dans des flottes de véhicules électriques et des solutions de recharge optimisées pour les besoins de nos clients. Nous mettons à leur disposition une prestation complète et financée : nos clients n’achètent pas du matériel mais un service.   Principales responsabilités : Développer des interfaces utilisateur dynamiques et performantes avec Angular, en suivant les meilleures pratiques de...
+plus","Niveau d´études requis : Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 2 ans et 5 ans et plus; Contrat proposé : CDI; Région de : Abidjan; Compétences clés : ANGULAR JS - API - DJANGO - FULL STACK - POSTGRESQL - REST"
Chargé de Recouvrement H/F,TECTRA CI,https://www.emploi.ci/offre-emploi-cote-ivoire/charge-recouvrement-hf-1403108,"Nous sommes à la recherche d'un  Chargé de Recouvrement H/F. Missions : Assurer le recouvrement des créances de l'entreprise dans le respect des procédures établies et en garantissant la préservation de la relation client. Assurer le suivi des comptes débiteurs et relancer les clients en retard de paiement. Négocier des solutions de paiement avec les clients en difficulté financière. Mettre en place des actions de recouvrement amiable ou judiciaire si nécessaire. Assurer un reporting régulier de l'activité de recouvrement.
+plus",Niveau d´études requis : Bac+5 et plus; Niveau d'expérience : Expérience entre 2 ans et 5 ans; Contrat proposé : CDI & CDD; Région de : Abidjan; Compétences clés : Banque - Comptabilité - Finance - Gestion - Recouvrement
Coordinateur Superviseurs de Site - Abidjan,TECTRA CI,https://www.emploi.ci/offre-emploi-cote-ivoire/coordinateur-superviseurs-site-abidjan-1497951,"Nous sommes à la recherche des  Coordinateurs Superviseurs de Site. Missions : Le Coordinateur a pour mission principale d’encadrer et de superviser les superviseurs de site dans le cadre des activités de sous-traitance et de travail temporaire. Il assure le lien entre les superviseurs de site et le Directeur d'Agence, veille au bon déroulement des opérations, à la satisfaction des clients, et garantit le respect des normes et procédures internes. Encadrement des Superviseurs de Site Superviser et contrôler l'activité des chefs de site. Organiser régulièrement des réunions d’équipe pour évaluer les performances des sites et définir les axes d’amélioration. Assurer le suivi, l'...
+plus","Niveau d´études requis : Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 2 ans et 5 ans et plus; Contrat proposé : CDI; Région de : Abidjan - Aboisso - Adzopé - Dabou & Divo; Compétences clés : Accompagnement - Gestion d'Équipe - Gestion des Ressources Humaines - Négociation - Reporting - Sécurité - Vente"
Business Developer - Abidjan,TOPWORK,https://www.emploi.ci/offre-emploi-cote-ivoire/business-developer-abidjan-1498236,"Dans le cadre de l’ouverture d’un cabinet international de recrutement et de sous-traitance, Pour sa filiale en Côte d’ivoire, nous recherchons un Business Developer. Les Missions principales : Analyse de marché : Définir son terrain de prospection (Grands comptes, middle market, TPE…) Élaborer et s’approprier l’argumentaire commercial en lien avec le marketing produit Assurer une veille concurrentielle et technologique Chasse et prospection commerciale : Identifier les contacts générateurs de leads et étudier le besoin client Assurer les présentations (démonstration sur site, à distance…) Négocier et closer les conditions contractuelles et optimiser...
+plus","Niveau d´études requis : Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 2 ans et 5 ans et plus; Contrat proposé : CDD; Région de : International; Compétences clés : Analyse de Marché - Communication - Facturation - Marketing - Négociation - Négociation Commerciale - Prospection - Prospection Commerciale - Suivi Commercial - Vente"
Vacataire - International,GLOBAL ACCESS WAY,https://www.emploi.ci/offre-emploi-cote-ivoire/vacataire-international-1488447,"Nous recherchons pour le compte de plusieurs entreprises internationales précisément aux États-Unis, Canada, Royaume-Uni, et espace Schengen, des professionnelles pour des Postes Vacants .
+plus","Niveau d´études requis : Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Débutant < 2 ans et plus; Contrat proposé : CDI & Temps partiel; Région de : International; Compétences clés : Finance - Formation - Gestion - Santé"
Formateurs - Abidjan,YSED GROUP CONSULTING,https://www.emploi.ci/offre-emploi-cote-ivoire/formateurs-abidjan-1491056,"Dans le cadre de l'expansion de nos offres de formation, YSED GROUP CONSULTING lance un appel à candidature afin de constituer une équipe de Formateurs experts dans divers domaines. Nous recherchons des professionnels passionnés par la transmission des savoirs et capables d’adapter leurs formations aux besoins spécifiques de notre clientèle. Domaines recherchés : Nous recherchons des formateurs/consultants expérimentés dans les domaines suivants : Gestion des contrats d'assurance Sage 100 Gestion de la comptabilité Constitution et déploiement de stratégie commerciale Logiciels standards (Word & Excel) Performance du manager : Vers une nouvelle dimension du management Gestion des sinistres et...
+plus","Niveau d´études requis : Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Débutant < 2 ans et plus; Contrat proposé : Temps partiel; Région de : Abidjan; Compétences clés : Comptabilité - Courtage - Finance - Gestion - Gestion des Clients - Gestion des Risques - Négociation - Négociation Commerciale - Prospection - SAGE - Stratégie Commerciale - Vente"
Assistant Administratif et Comptable Junior - Cocody Angré Château,BLÔDOU CONSULTING,https://www.emploi.ci/offre-emploi-cote-ivoire/assistant-administratif-comptable-junior-cocody-angre-chateau-1490115,"Blôdou Consulting est un cabinet de conseil et de gestion d'entreprise. Dans le cadre de nos activités, nous recrutons pour le compte de notre client, la société SOURALEH FAVOR qui exerce dans le domaine de la fabrication et la vente de médicaments naturels, un Assistant Administratif et Comptable Junior. Missions : Sous la Supervision de la Direction Générale, l’ Assistant Administratif et comptable H/F assure les tâches polyvalentes suivantes: La gestion administrative de la société et des projets en cours. Assure la liaison entre la direction générale, le cabinet comptable, les bases de productions et les fournisseurs. Pilote les outils de gestion administrative et comptable de la société Prépare et...
+plus","Niveau d´études requis : Bac, Bac+1, Bac+2 & Bac+3; Niveau d'expérience : Etudiant, jeune diplômé; Contrat proposé : Stage; Région de : Abidjan; Compétences clés : Archivage - Assistanat - Bureautique - Communication Écrite - Comptabilité - Facture - Finance - Gestion - Gestion Administrative - Gestion d'Entreprise - Management - Secrétariat - Techniques de Gestion - WORD"
Infographe - Abidjan,STUDIO KÄ,https://www.emploi.ci/offre-emploi-cote-ivoire/infographe-abidjan-1488922,"Nous sommes à la recherche d'un  Infographe. Missions : Mettre en œuvre des concepts visuels innovants en utilisant des outils de conception graphique Travailler en étroite collaboration avec l'équipe marketing Concevoir des visuels créatifs et attrayants, des supports marketing et des contenus numériques. Réaliser des travaux dits « préparatoires » (pré maquettes, croquis, etc.) Procéder à la réalisation de sa communication visuelle Travailler sur des supports multiples et variés (affiche, présentoir, livre, journal, dépliant publicitaire, film, emballage, bande dessinée, film d’animation, multimédia, etc.)
+plus","Niveau d´études requis : Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Etudiant, jeune diplômé et plus; Contrat proposé : CDD & Stage; Région de : Abidjan; Compétences clés : Animation - Communication - Design - Infographie - Marketing - Multimédia - Supports Marketing"
Comptable - Abidjan,OCTOPLUS MARKETING,https://www.emploi.ci/offre-emploi-cote-ivoire/comptable-abidjan-1488514,"Octoplus Marketing Group est une société de conseil en marketing à 360 degrés, spécialisée dans le soutien, le développement de stratégies et les solutions commerciales. Nous nous concentrons sur l'engagement créatif des consommateurs, clients et utilisateurs finaux à travers des expériences mémorables qui impactent les marques que nous gérons. Nous recherchons un Comptable qualifié pour rejoindre notre équipe à Abidjan. En tant que membre intégral de notre département financier, vous serez responsable de la gestion des dossiers financiers, de la préparation des rapports financiers et de l'assurance de la conformité aux exigences réglementaires. Le candidat idéal possédera de solides compétences analytiques, une...
+plus","Niveau d´études requis : Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 2 ans et 5 ans et plus; Contrat proposé : CDI & CDD; Région de : Abidjan; Compétences clés : Comptabilité - États Financiers - Finance - Gestion - Rapports Financiers - Trésorerie"
