Titre,Entreprise,Description,Niveau d'étude,Expérience,Contrat,Lieu,Compétences,Lien
Stagiaire en Réseau Informatiques et Télécommunications - Abidjan,HTS AFRICA,Nous sommes a la recherche d'un Stagiaire en Réseau Informatiques et Télécommunications ou équivalent.,Non spécifié,Non spécifié,Stage,Abidjan,Non spécifié,https://www.emploi.ci/offre-emploi-cote-ivoire/stagiaire-reseau-informatiques-telecommunications-abidjan-1527204
Commercial - Abidjan,BUTTERFLY CORPORATE,"Nous sommes à la recherche des Commerciaux. Missions : En tant que commercial(e), vous serez responsable de : Développer et fidéliser un portefeuille clients. Identifier de nouvelles opportunités commerciales. Négocier des contrats et des accords avec les clients. Assurer un suivi régulier et maintenir une relation de confiance avec les clients.",Non spécifié,Non spécifié,CDI & CDD,Abidjan,Communication de Produit - Négociation - Négociation Commerciale - Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/commercial-abidjan-1526731
Assistante de Direction - Yopougon,SOLEN GROUPE,"Dans le cadre du développement de son activité Télécoms SOLEN Groupe est à la recherche d'une Assistante de Direction jeune, flexible, motivée et dynamique. Mission principale : Assister le Directeur des Opérations Télécom dans la gestion quotidienne de ses activités, assurer la coordination des communications internes et externes, et organiser efficacement les agendas et les dossiers administratifs. Responsabilités : Gestion administrative : Préparer et suivre les documents administratifs et dossiers du Directeur des Opérations Télécom. Rédiger des comptes rendus, courriers et autres correspondances. Organisation et coordination : Gérer l’agenda du Directeur des Opérations Télécom et planifier...",Non spécifié,Non spécifié,CDI & CDD,Abidjan,Archivage - Assistanat - Bureautique - Communication - Communication Écrite - Documentation - Documents Administratifs - Dossiers - Dossiers Administratifs - Gestion Administrative - Organisation de Réunions - POWERPOINT - Secrétariat - Secrétariat Bureautique - Support - WORD,https://www.emploi.ci/offre-emploi-cote-ivoire/assistante-direction-yopougon-1524555
Technicien(ne) en Sécurité Electronique - Abidjan,LABEL RETAIL,"Nous recrutons un(e) Technicien(ne) en Sécurité Électronique pour installer, entretenir et réparer des équipements de sécurité électronique. Vous jouerez un rôle important dans la satisfaction des clients et le bon déroulement des opérations. Responsabilités : Installer des systèmes de sécurité électronique (vidéosurveillance, alarmes, contrôle d'accès, clôtures électriques, etc.). Diagnostiquer et résoudre les pannes. Réaliser la maintenance des équipements. Monter et assembler les systèmes. Rédiger des rapports d’intervention. Effectuer des déplacements réguliers en moto.",Non spécifié,Non spécifié,CDD,Abidjan,Électronique - Maintenance - Production - Qualité - Sécurité Électronique,https://www.emploi.ci/offre-emploi-cote-ivoire/technicienne-securite-electronique-abidjan-1523778
Chargé des Affaires H/F - Abidjan,SILOTEC CI,"Dans le cadre de son développement, la société SILOTEC COTE D’IVOIRE (Opérateur agrée par le ministère des transports pour la délivrance des contrôles techniques automobiles) , entend renforcer son équipe et dynamiser sa force de vente. Ainsi, pour anticiper ses futurs besoins en recrutement , l'entreprise est à la recherche des Chargés des Affaires H/F talentueux, dynamiques et ambitieux pour occuper les postes clés  au sein de son entreprise Ces opportunités s'adressent à des personnes passionnées par le challenge commercial, désireuses de contribuer activement à la croissance de l'entreprise et prêtes à évoluer dans un environnement stimulant, où l'innovation et la performance sont au...",Non spécifié,Non spécifié,CDI,Abidjan,Business Unit Management - Communication - Marketing - Marketing des Ventes - Négociation - Négociation Commerciale - Relations Publiques - Techniques de Vente - Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/charge-affaires-hf-abidjan-1522272
Commercial - Abidjan,EMPREINTE INNOVATION GROUPE,Nous sommes à la recherche des  Commerciaux.,Non spécifié,Non spécifié,"CDI, CDD & Freelance",Abidjan,Actions Commerciales - Communication - Comptabilité - Marketing - Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/commercial-abidjan-1522807
Agent Commercial - Abidjan,SONALO,"Métier : Commerce / Vente / Marketing Management Niveau : BTS / DUT Expérience: 1 an minimum Condition de Rémunération: 160 000 F Type de contrat:   CDD Lieu: Abidjan – Cocody Palmeraie Horaires : 8h00-12h00 et 13h30-17h00 du lundi au vendredi et 08h00-12h00 samedi. Date de Publication :   27/12/2024 Délai : 15/01/2025 Nous recrutons un(e) Commercial(e) dynamique pour rejoindre notre équipe dans le secteur de l’immobilier, de la vente, construction, lotissement, décoration d’Intérieur, etc……. Vos principales missions: Prospecter et fidéliser une clientèle variée et vendre les produits ou services Réaliser des démonstrations et...",Non spécifié,Non spécifié,CDD,Abidjan,Devis - Négociation - Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/agent-commercial-abidjan-1521198
Directeur Ressources Humaines - Abidjan,GKP IMMOBILIER,Nous sommes à la recherche d'un  Directeur Ressources Humaines pour notre société GKP IMMOBILIER.,Non spécifié,Non spécifié,CDD,Abidjan,Formation - Gestion - Gestion des Ressources Humaines - Management - Promotion Immobilière - Saisie Informatique - Système d'Information de Gestion des Ressources Humaines - Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/directeur-ressources-humaines-abidjan-1520533
Chargé des Imports - Abidjan,SIMAM COTE D'IVOIRE,"Sous l’autorité du Directeur des Opérations et Achats le/la titulaire du poste aura pour mission de coordonner toutes les importations nécessaires au fonctionnement de l’entreprise. A ce titre, il/elle sera chargé (e) de : Gérer les appels d’offre pour prestation transit et transport sur import ; Effectuer le suivi effectif du processus import ; Évaluer les fournisseurs ; Produire des reporting d’activités.",Non spécifié,Non spécifié,CDI,Abidjan,Achats - Gestion des Achats - Import - Transit - Transport - Vente,https://www.emploi.ci/offre-emploi-cote-ivoire/charge-imports-abidjan-1505589
Assistant Juridique - Abidjan,SIMAM COTE D'IVOIRE,"Nous sommes à la recherche d'un  Assistant Juridique. Sous l’autorité de la Juriste le/la titulaire du poste aura pour mission de d’assister la juriste dans ses diligences quotidiennes. A ce titre, il/elle sera chargé (e) de : Participer à la veille juridique et règlementaire ; rédiger les courriers ; Faire la revue des contrats ; Prendre des notes et rédiger les comptes-rendus lors des réunions Conseiller et assister les directions en matière juridique ; Alerte les directions sur les risques juridiques liés à l'exercice de leurs activités et les orienter ; Établir un reporting mensuel de ses activités.",Non spécifié,Non spécifié,CDD,Abidjan,Droit - Risques Juridiques,https://www.emploi.ci/offre-emploi-cote-ivoire/assistant-juridique-abidjan-1509291
